SIS V(mV)	-0.1
SIS C(uA)	25.2
SIS Mag (mA)	-0.1
LO PA Vd (V)	0.00
LO PA Id (mA)	0.00
IF(GHz)	Hot-Power(dBm)	Cold-Power(dBm)	Y-factor	Tsys
1.45	-71.47	-72.04	1.14	1512.39
1.45	-71.63	-72.42	1.20	1018.69
1.46	-71.66	-72.72	1.28	713.97
1.46	-72.14	-72.84	1.18	1169.12
1.46	-71.96	-73.13	1.31	629.63
1.47	-72.37	-73.25	1.22	898.77
1.47	-72.79	-73.31	1.13	1629.62
1.47	-73.20	-73.70	1.12	1725.41
1.48	-73.20	-73.39	1.05	4633.16
1.48	-73.36	-73.99	1.15	1336.24
1.49	-73.33	-74.17	1.21	948.04
1.49	-73.05	-73.99	1.24	832.09
1.49	-73.66	-73.79	1.03	7308.07
1.50	-73.72	-73.90	1.04	5307.21
1.50	-73.24	-74.43	1.32	618.09
1.50	-73.52	-73.78	1.06	3485.15
1.51	-73.45	-73.84	1.09	2274.69
1.51	-73.67	-73.94	1.07	3290.55
1.51	-73.41	-74.02	1.15	1358.99
1.52	-73.06	-73.90	1.21	943.50
1.52	-73.43	-74.03	1.15	1418.08
1.53	-72.97	-73.92	1.24	822.62
1.53	-72.83	-73.76	1.24	845.12
1.53	-72.86	-73.29	1.10	2047.20
1.54	-72.33	-73.24	1.23	860.75
1.54	-72.40	-72.88	1.12	1786.11
1.54	-71.94	-72.56	1.15	1340.96
1.55	-71.51	-72.40	1.23	888.90
1.55	-71.87	-72.53	1.17	1243.34
1.55	-71.81	-72.24	1.10	2019.95
1.56	-71.31	-72.29	1.25	795.85
1.56	-71.33	-72.27	1.24	829.01
1.57	-71.22	-72.31	1.29	690.99
1.57	-71.12	-71.75	1.16	1319.94
1.57	-71.39	-72.04	1.16	1295.34
1.58	-71.26	-72.08	1.21	974.21
1.58	-71.38	-72.45	1.28	709.12
1.58	-71.45	-72.04	1.14	1443.24
1.59	-71.40	-72.61	1.32	605.25
1.59	-71.64	-72.45	1.21	989.37
1.59	-72.16	-72.82	1.16	1255.79
1.60	-72.34	-72.83	1.12	1768.99
1.60	-72.13	-73.08	1.24	827.11
1.61	-72.24	-73.30	1.27	719.56
1.61	-72.71	-73.10	1.09	2261.24
1.61	-72.89	-73.48	1.14	1444.73
1.62	-72.95	-73.80	1.22	936.10
1.62	-72.90	-73.43	1.13	1613.19
1.62	-72.96	-73.81	1.21	946.78
1.63	-72.71	-73.69	1.26	780.53
1.63	-72.51	-73.93	1.39	489.95
1.64	-72.76	-73.40	1.16	1323.78
1.64	-73.01	-73.45	1.11	1989.56
1.64	-72.68	-73.44	1.19	1059.82
1.65	-72.71	-73.68	1.25	804.76
1.65	-72.67	-73.51	1.21	958.94
1.65	-72.31	-73.59	1.34	564.48
1.66	-72.48	-73.14	1.16	1270.64
1.66	-72.07	-73.02	1.24	818.47
1.66	-72.05	-72.63	1.14	1436.67
1.67	-71.89	-72.93	1.27	732.36
1.67	-71.65	-72.62	1.25	801.58
1.68	-71.44	-72.30	1.22	925.76
1.68	-70.94	-72.03	1.28	692.33
1.68	-70.71	-71.95	1.33	586.48
1.69	-70.70	-72.04	1.36	531.65
1.69	-70.70	-71.50	1.20	995.34
1.69	-70.32	-71.84	1.42	445.00
1.70	-70.52	-71.80	1.34	558.59
1.70	-70.73	-71.50	1.19	1048.77
1.71	-70.18	-71.60	1.39	488.44
1.71	-70.55	-71.83	1.34	561.96
1.71	-70.94	-71.97	1.27	740.28
1.72	-70.49	-72.05	1.43	426.59
1.72	-71.13	-72.01	1.22	907.85
1.72	-71.21	-72.29	1.28	693.35
1.73	-71.01	-72.75	1.49	368.56
1.73	-71.75	-72.84	1.28	692.84
1.73	-71.27	-72.77	1.41	453.41
1.74	-71.43	-72.88	1.40	473.85
1.74	-71.81	-73.18	1.37	511.32
1.75	-72.00	-73.05	1.27	719.75
1.75	-72.28	-73.05	1.19	1050.09
1.75	-71.99	-73.08	1.29	690.52
1.76	-71.98	-73.17	1.32	617.76
1.76	-71.85	-73.12	1.34	569.48
1.76	-71.96	-73.15	1.32	617.13
1.77	-72.10	-73.35	1.33	584.37
1.77	-72.18	-73.13	1.24	821.22
1.77	-71.77	-73.15	1.38	504.83
1.78	-71.69	-73.33	1.46	402.95
1.78	-71.47	-72.86	1.38	504.97
1.79	-71.74	-72.69	1.24	817.88
1.79	-71.43	-72.68	1.33	580.50
1.79	-71.33	-72.23	1.23	868.71
1.80	-70.58	-72.13	1.43	433.23
1.80	-70.76	-71.77	1.26	760.46
1.80	-70.56	-71.46	1.23	876.75
1.81	-70.34	-71.91	1.44	426.44
1.81	-70.39	-71.32	1.24	835.48
1.81	-70.01	-71.15	1.30	654.75
1.82	-69.65	-71.28	1.46	401.63
1.82	-69.71	-71.08	1.37	509.83
1.83	-69.64	-71.05	1.38	494.86
1.83	-69.32	-71.02	1.48	378.75
1.83	-69.61	-70.78	1.31	631.73
1.84	-69.28	-70.42	1.30	653.62
1.84	-69.81	-70.73	1.24	842.95
1.84	-69.61	-71.05	1.39	479.38
1.85	-69.85	-71.10	1.33	578.57
1.85	-69.63	-71.57	1.56	313.48
1.86	-70.10	-71.39	1.34	558.32
1.86	-70.26	-71.50	1.33	585.48
1.86	-70.52	-71.77	1.33	580.77
1.87	-70.66	-71.99	1.36	534.67
1.87	-70.67	-72.01	1.36	527.10
1.87	-70.92	-71.86	1.24	827.86
1.88	-70.92	-72.41	1.41	459.39
1.88	-71.07	-72.08	1.26	757.38
1.88	-70.48	-71.95	1.40	468.52
1.89	-70.94	-72.21	1.34	567.63
1.89	-71.28	-72.23	1.24	823.81
1.90	-71.22	-72.05	1.21	968.06
1.90	-71.34	-72.34	1.26	772.44
1.90	-71.20	-72.53	1.36	535.79
1.91	-71.21	-72.31	1.29	681.76
1.91	-70.98	-72.04	1.28	713.65
1.91	-70.45	-71.97	1.42	448.80
1.92	-70.29	-71.95	1.47	393.20
1.92	-70.87	-71.60	1.18	1112.79
1.93	-70.16	-72.03	1.54	330.13
1.93	-70.32	-71.58	1.34	576.27
1.93	-70.17	-71.28	1.29	671.32
1.94	-69.71	-70.91	1.32	608.47
1.94	-69.47	-70.91	1.39	479.09
1.94	-68.69	-70.42	1.49	369.77
1.95	-69.54	-70.46	1.23	855.67
1.95	-69.08	-70.65	1.43	427.03
1.95	-68.65	-70.26	1.45	412.24
1.96	-68.30	-70.01	1.48	375.49
1.96	-68.67	-70.17	1.41	451.42
1.97	-68.58	-70.12	1.43	436.43
1.97	-68.62	-70.08	1.40	470.75
1.97	-68.81	-70.07	1.34	573.43
1.98	-69.02	-70.58	1.44	425.96
1.98	-69.05	-70.42	1.37	514.45
1.98	-69.31	-70.25	1.24	831.55
1.99	-69.75	-70.44	1.17	1192.53
1.99	-69.32	-70.87	1.43	434.03
1.99	-69.55	-71.25	1.48	379.63
2.00	-69.59	-70.90	1.35	542.03
2.00	-69.66	-70.98	1.35	543.33
2.01	-69.64	-71.06	1.39	488.58
2.01	-69.90	-71.13	1.33	594.19
2.01	-70.04	-71.53	1.41	460.85
2.02	-70.26	-71.25	1.26	779.31
2.02	-70.31	-71.62	1.35	543.67
2.02	-69.99	-71.22	1.33	592.70
2.03	-70.36	-71.27	1.23	858.65
2.03	-70.26	-71.27	1.26	762.90
2.04	-70.05	-71.31	1.34	574.31
2.04	-70.31	-71.19	1.23	890.86
2.04	-69.55	-71.29	1.49	369.81
2.05	-69.69	-71.12	1.39	484.88
2.05	-69.52	-70.96	1.40	476.73
2.05	-69.53	-70.84	1.35	547.65
2.06	-68.93	-70.71	1.51	356.14
2.06	-69.14	-70.15	1.26	762.53
2.06	-69.02	-70.25	1.33	595.45
2.07	-68.94	-70.24	1.35	551.35
2.07	-68.46	-70.26	1.51	351.53
2.08	-68.58	-69.99	1.38	496.90
2.08	-68.11	-69.55	1.39	479.23
2.08	-67.85	-69.57	1.49	372.58
2.09	-67.88	-69.12	1.33	585.48
2.09	-67.46	-68.92	1.40	468.89
2.09	-67.77	-69.19	1.39	489.99
2.10	-67.61	-69.08	1.40	466.88
2.10	-67.54	-69.22	1.47	387.67
2.10	-67.44	-69.22	1.51	354.43
2.11	-67.79	-69.19	1.38	501.06
2.11	-67.92	-68.98	1.28	712.59
2.12	-68.01	-69.54	1.42	444.84
2.12	-68.40	-69.74	1.36	531.27
2.12	-68.21	-69.66	1.39	478.42
2.13	-68.66	-69.93	1.34	568.24
2.13	-68.51	-70.05	1.43	436.68
2.13	-68.52	-70.14	1.45	404.61
2.14	-68.61	-70.37	1.50	363.30
2.14	-68.74	-70.34	1.44	416.95
2.15	-69.12	-70.45	1.36	535.29
2.15	-69.09	-70.73	1.46	400.70
2.15	-68.93	-70.44	1.42	449.51
2.16	-68.98	-70.63	1.46	397.60
2.16	-69.12	-70.78	1.46	394.36
2.16	-68.67	-70.43	1.50	361.86
2.17	-68.73	-70.41	1.48	384.01
2.17	-68.78	-70.71	1.56	316.35
2.17	-68.43	-70.36	1.56	315.17
2.18	-68.40	-70.36	1.57	307.53
2.18	-68.32	-70.34	1.59	294.61
2.19	-68.09	-69.98	1.55	323.90
2.19	-68.29	-69.80	1.41	452.01
2.19	-67.89	-69.79	1.55	321.89
2.20	-67.55	-69.67	1.63	271.25
2.20	-67.50	-69.33	1.52	340.99
2.20	-67.31	-68.90	1.44	420.86
2.21	-67.18	-68.97	1.51	353.52
2.21	-66.83	-68.73	1.55	322.71
2.21	-67.02	-68.64	1.45	406.82
2.22	-66.59	-68.34	1.50	365.17
